"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"Kellermeister Edition Sekt Extra Trocken 2016","Germany","Saale-Unstrut","Winzervereinigung Freyburg-Unstrut",3.7,33,9.83,"2016","Sparkling"
"Millesimato Brut 2014","Italy","Franciacorta","Monzio Compagnoni",3.7,33,17.9,"2014","Sparkling"
"Quinquin Sparkling Rosé N.V.","Austria","Burgenland","Esterházy",3.7,33,12.1,"N.V.","Sparkling"
"Perlé Rosé Riserva 2011","Italy","Trento","Ferrari",4.1,34,92.53,"2011","Sparkling"
"Victor Mandois Brut Champagne 2008","France","Champagne","Mandois",3.9,34,37.97,"2008","Sparkling"
"Etichetta Nera Spumante Extra Dry 2018","Italy","Veneto","Sacchetto",3.8,34,9.82,"2018","Sparkling"
"Große Reserve Brut Nature 2015","Austria","Kamptal","Jurtschitsch",3.9,34,22.13,"2015","Sparkling"
"Crémant de Bourgogne Blanc de Blancs Extra Brut N.V.","France","Crémant de Bourgogne","Domaine Henri Boillot",4,34,22.5,"N.V.","Sparkling"
"Asolo Prosecco Superiore Millesimato Extra Dry N.V.","Italy","Asolo Prosecco","Val d'Oca",3.8,34,14.41,"N.V.","Sparkling"
"Vecchie Viti 2018","Italy","Conegliano-Valdobbiadene Prosecco","Ruggeri",4,35,22.99,"2018","Sparkling"
"Cuvée Clive 2014","South Africa","Robertson","Graham Beck",4.2,35,45,"2014","Sparkling"
"Millésimé Crémant du Jura Brut 2014","France","Crémant du Jura","Tissot-Maire",3.7,35,13.9,"2014","Sparkling"
"Cuvée Esplendor Vinyes Propies 2014","Spain","Penedès","Vardon Kennett",3.5,35,45.74,"2014","Sparkling"
"Grande Cuvée de Purcari Extra Brut 2016","Moldova","South Eastern","Château Purcari",4.4,35,49.98,"2016","Sparkling"
"Rosé Prestige Brut 2012","Germany","Rheinhessen","Raumland",4.1,36,20.28,"2012","Sparkling"
"Blanc de Blancs Brut Champagne Premier Cru 2010","France","Champagne Premier Cru","Paul Michel",3.9,36,31.68,"2010","Sparkling"
"Vigna Senza Nome Moscato d'Asti 2019","Italy","Moscato d'Asti","Braida",4.1,36,11.43,"2019","Sparkling"
"Valdobbiadene Millesimato Brut 2017","Italy","Conegliano-Valdobbiadene Prosecco","Borgo Molino",4.1,36,14.9,"2017","Sparkling"
"Brut Nature N.V.","Germany","Pfalz","Frank John",4.4,36,28,"N.V.","Sparkling"
"Cuvée Muggi Bubbles Day Extra Brut N.V.","Italy","Trentino-Alto Adige","Arunda",3.7,36,25.9,"N.V.","Sparkling"
"Prosecco Millesimato Brut 2018","Italy","Prosecco","Fili",4,36,11.05,"2018","Sparkling"
"Blanc de Noirs Brut 2016","Germany","Baden","Griesel & Compagnie",4,36,15.5,"2016","Sparkling"
"Cuvée Eugénie Crémant de Limoux Brut 2017","France","Crémant de Limoux","Antech",3.6,37,14.62,"2017","Sparkling"
"‘61 Franciacorta Rosé 1961","Italy","Franciacorta","Berlucchi",3.8,37,18.91,"1961","Sparkling"
